City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
89,Bengkulu,-3.8004,102.2655,77.23,81,50,4.68,ID,2022-04-03 15:47:22
90,Madras,13.0878,80.2785,85.98,86,0,8.05,IN,2022-04-03 15:43:04
91,Sitka,57.0531,-135.33,42.69,75,100,23.02,US,2022-04-03 15:47:23
92,Bilma,18.6853,12.9164,101.86,3,100,7.0,NE,2022-04-03 15:47:23
93,Victoria,22.2855,114.1577,66.38,68,0,15.99,HK,2022-04-03 15:45:26
94,Yulara,-25.2406,130.9889,60.64,33,0,5.75,AU,2022-04-03 15:43:22
95,Luwuk,-0.9516,122.7875,78.42,89,100,2.86,ID,2022-04-03 15:47:24
96,Butaritari,3.0707,172.7902,81.18,72,59,14.32,KI,2022-04-03 15:47:24
97,Milkovo,54.7167,158.6167,10.81,86,9,4.74,RU,2022-04-03 15:47:24
98,Port Elizabeth,-33.918,25.5701,70.11,91,75,13.8,ZA,2022-04-03 15:47:24
99,Arraial Do Cabo,-22.9661,-42.0278,82.36,74,75,11.5,BR,2022-04-03 15:47:25
100,Manggar,-2.8833,108.2667,78.44,82,91,4.18,ID,2022-04-03 15:47:25
101,Neryungri,56.6709,124.6491,14.18,89,100,11.83,RU,2022-04-03 15:47:25
102,Mount Gambier,-37.8333,140.7667,48.11,100,17,4.61,AU,2022-04-03 15:47:26
103,Steamboat Springs,40.485,-106.8317,41.34,71,100,3.44,US,2022-04-03 15:45:24
104,Kataysk,56.289,62.5841,38.57,93,100,14.41,RU,2022-04-03 15:45:27
105,Ilulissat,69.2167,-51.1,30.22,69,75,2.3,GL,2022-04-03 15:44:56
106,Carnot,4.9409,15.8665,91.36,34,100,1.52,CF,2022-04-03 15:47:26
107,Aswan,24.0934,32.907,103.3,10,96,3.44,EG,2022-04-03 15:47:26
108,Pevek,69.7008,170.3133,-20.29,95,17,2.82,RU,2022-04-03 15:47:27
109,Bluff,-46.6,168.3333,56.77,73,67,12.03,NZ,2022-04-03 15:47:27
110,Kawalu,-7.3817,108.2082,72.64,97,100,3.4,ID,2022-04-03 15:47:27
111,Richards Bay,-28.783,32.0377,75.96,83,100,6.44,ZA,2022-04-03 15:47:28
112,Harper,4.375,-7.7169,84.42,70,72,11.32,LR,2022-04-03 15:46:57
113,Wanxian,30.8039,108.3897,64.72,63,100,2.91,CN,2022-04-03 15:47:28
114,Martapura,-3.4167,114.85,75.29,100,96,2.3,ID,2022-04-03 15:47:28
115,Bilibino,68.0546,166.4372,-5.01,96,100,3.51,RU,2022-04-03 15:47:28
116,Narsaq,60.9167,-46.05,41.22,61,99,4.14,GL,2022-04-03 15:47:29
117,Macapa,0.0389,-51.0664,78.78,94,100,5.75,BR,2022-04-03 15:45:06
118,Ponta Do Sol,32.6667,-17.1,61.0,86,100,10.92,PT,2022-04-03 15:43:28
119,Never,46.9896,3.159,42.55,52,100,11.5,FR,2022-04-03 15:47:29
120,Broome,42.2506,-75.833,41.2,88,100,3.0,US,2022-04-03 15:47:29
121,Tagusao,9.1924,117.8141,79.92,80,100,0.94,PH,2022-04-03 15:43:37
122,Salalah,17.0151,54.0924,84.29,65,0,5.75,OM,2022-04-03 15:47:30
123,Oktyabrskoye,43.0645,44.7417,68.14,37,51,13.42,RU,2022-04-03 15:47:30
124,Bandarbeyla,9.4942,50.8122,80.42,72,23,8.41,SO,2022-04-03 15:47:30
125,Vila Franca Do Campo,37.7167,-25.4333,63.01,72,14,18.01,PT,2022-04-03 15:47:31
126,Mar Del Plata,-38.0023,-57.5575,72.88,65,0,20.0,AR,2022-04-03 15:47:31
127,Lorengau,-2.0226,147.2712,79.7,80,100,1.86,PG,2022-04-03 15:47:31
128,Nikolskoye,59.7035,30.7861,33.8,90,80,1.81,RU,2022-04-03 15:47:32
129,Bandipur,27.9333,84.4167,66.72,64,67,3.76,NP,2022-04-03 15:47:32
130,Pitimbu,-7.4706,-34.8086,86.59,73,17,14.58,BR,2022-04-03 15:46:27
131,New Norfolk,-42.7826,147.0587,56.7,88,98,0.94,AU,2022-04-03 15:47:32
132,Kilindoni,-7.9139,39.6668,82.89,71,15,9.89,TZ,2022-04-03 15:47:33
133,Fonte Boa,-2.4959,-66.2662,82.56,70,93,2.26,BR,2022-04-03 15:47:33
134,Mareeba,-17.0,145.4333,71.44,94,100,1.86,AU,2022-04-03 15:42:55
135,Borinskoye,52.4569,39.3713,35.4,82,100,6.76,RU,2022-04-03 15:47:33
136,Ahipara,-35.1667,173.1667,61.79,92,3,2.98,NZ,2022-04-03 15:47:33
137,Turukhansk,65.8167,87.9833,-1.34,99,20,2.82,RU,2022-04-03 15:47:34
138,Half Moon Bay,37.4636,-122.4286,63.61,80,20,4.61,US,2022-04-03 15:47:28
139,Nanortalik,60.1432,-45.2371,38.1,81,99,3.62,GL,2022-04-03 15:44:57
140,Geraldton,-28.7667,114.6,75.61,83,75,10.36,AU,2022-04-03 15:47:34
141,Dzhebariki-Khaya,62.2167,135.8,2.5,99,91,1.48,RU,2022-04-03 15:47:35
142,Yellowknife,62.456,-114.3525,10.42,77,20,12.66,CA,2022-04-03 15:47:35
143,Krasnoselkup,65.7,82.4667,-0.18,100,69,3.78,RU,2022-04-03 15:47:35
144,Bambous Virieux,-20.3428,57.7575,79.21,78,75,12.66,MU,2022-04-03 15:47:35
145,Yarmouth,41.7057,-70.2286,52.14,75,75,5.01,US,2022-04-03 15:47:36
146,Georgetown,5.4112,100.3354,78.73,93,20,1.14,MY,2022-04-03 15:44:32
147,Terrace,54.5163,-128.6035,35.51,93,75,16.11,CA,2022-04-03 15:47:36
148,Walvis Bay,-22.9575,14.5053,63.55,72,40,8.05,NA,2022-04-03 15:47:36
149,Billings,45.7833,-108.5007,46.29,44,0,21.85,US,2022-04-03 15:43:46
150,Vardo,70.3705,31.1107,28.38,93,40,4.61,NO,2022-04-03 15:47:37
151,Saint-Pierre,-21.3393,55.4781,74.91,94,75,4.61,RE,2022-04-03 15:47:37
