City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
684,Antigonish,CA,35.15,scattered clouds,45.6169,-61.9986,Claymore Inn and Suites
692,Sitka,US,42.69,moderate rain,57.0531,-135.33,Westmark Sitka
696,Honningsvag,NO,32.47,overcast clouds,70.9821,25.9704,Nordkapp Vandrerhjem
698,Torrington,US,49.24,light rain,41.8007,-73.1212,The Yankee Pedlar Inn
713,Yatou,CN,48.94,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
719,Suraia,RO,49.03,overcast clouds,45.6833,27.4,Crinului nr 36
726,Kyren,RU,36.57,overcast clouds,51.6828,102.1408,"Energetik, Pansionat Ooo ""Grand Baykal"""
728,Zhigalovo,RU,32.34,overcast clouds,54.8097,105.1578,"Hotel ""Lenatur"""
736,Ahlat,TR,32.65,overcast clouds,38.7518,42.4814,Ahlat Ogretmenevi ve Aksam Sanat Okulu
743,Den Helder,NL,43.02,overcast clouds,52.9599,4.7593,Hotel Den Helder
746,Broome,US,48.45,light rain,42.2506,-75.833,Chenango Valley State Park
750,Bedford,GB,38.95,broken clouds,52.1346,-0.4663,Premier Inn Bedford (Priory Marina) hotel
753,Killybegs,IE,40.33,scattered clouds,54.6333,-8.45,Tara Hotel
754,Lowestoft,GB,39.45,scattered clouds,52.4752,1.7516,Premier Inn Lowestoft hotel
787,Ulaanbaatar,MN,35.73,clear sky,47.9077,106.8832,The Blue Sky Hotel and Tower
788,Stolbovaya,RU,44.74,overcast clouds,55.2528,37.4853,Хостел
791,Plavsk,RU,39.79,broken clouds,53.7094,37.2919,HOSTELPLAVSK
800,Karakol,KG,48.0,overcast clouds,42.4907,78.3936,"Gostinitsa ""Al'tamira"""
802,Baruun-Urt,MN,47.26,overcast clouds,46.6806,113.2792,Ахмадын амралт сувилал
812,Hastings,GB,45.79,overcast clouds,50.8552,0.5729,Zanzibar Hotel
815,Sergeyevka,KZ,36.9,overcast clouds,53.88,67.4158,Amina
821,Pierre,US,47.86,overcast clouds,44.3683,-100.351,Ramkota Hotel
829,Godfrey,US,49.75,overcast clouds,38.9556,-90.1868,Super 8 by Wyndham Alton
833,Newtownards,GB,41.52,clear sky,54.5924,-5.6909,Strangford Arms Hotel
842,Mayskiy,RU,47.61,few clouds,47.6931,40.1025,Dio Lakrua
